id,data,categoria,descricao,valor
1,2026-01-31,Folha de Pagamento,Salários,6621.60
2,2026-01-20,Folha de Pagamento,Horas extras,16080.05
3,2026-01-16,Folha de Pagamento,Salários,16048.32
4,2026-01-04,Folha de Pagamento,Horas extras,19366.81
5,2026-01-29,Folha de Pagamento,Horas extras,16604.65
6,2026-01-08,Folha de Pagamento,Salários,13258.88
7,2026-01-08,Folha de Pagamento,Salários,7979.03
8,2026-01-03,Folha de Pagamento,Vale-transporte,14806.48
9,2026-01-27,Folha de Pagamento,Salários,17653.42
10,2026-01-25,Folha de Pagamento,Encargos sociais,13258.63
11,2026-01-05,Folha de Pagamento,Vale-transporte,9196.13
12,2026-01-31,Folha de Pagamento,Encargos sociais,11498.79
13,2026-01-09,Folha de Pagamento,Vale-transporte,8704.53
14,2026-01-23,Energia Elétrica,Fatura Copel,3824.29
15,2026-01-08,Energia Elétrica,Fatura Copel,3625.05
16,2026-01-29,Energia Elétrica,Fatura Copel,3695.37
17,2026-01-28,Energia Elétrica,Demanda contratada,2738.87
18,2026-01-03,Energia Elétrica,Fatura Copel,3569.66
19,2026-01-09,Energia Elétrica,Demanda contratada,2660.96
20,2026-01-07,Energia Elétrica,Fatura Copel,4264.06
21,2026-01-24,Energia Elétrica,Demanda contratada,2898.80
22,2026-01-08,Energia Elétrica,Demanda contratada,2278.57
23,2026-01-26,Energia Elétrica,Demanda contratada,1718.36
24,2026-01-07,Energia Elétrica,Fatura Copel,1587.38
25,2026-01-04,Energia Elétrica,Demanda contratada,3210.88
26,2026-01-12,Energia Elétrica,Demanda contratada,3316.04
27,2026-01-14,Energia Elétrica,Demanda contratada,1545.21
28,2026-01-08,Água e Esgoto,Fatura Sanepar,3265.37
29,2026-01-07,Água e Esgoto,Fatura Sanepar,4130.31
30,2026-01-05,Água e Esgoto,Fatura Sanepar,1665.35
31,2026-01-06,Água e Esgoto,Fatura Sanepar,2511.92
32,2026-01-15,Água e Esgoto,Fatura Sanepar,2335.71
33,2026-01-28,Água e Esgoto,Fatura Sanepar,3789.42
34,2026-01-30,Gás,Gás da cozinha,444.94
35,2026-01-10,Gás,Gás da cozinha,857.38
36,2026-01-23,Gás,Gás da cozinha,774.36
37,2026-01-05,Gás,Recarga de GLP,383.06
38,2026-01-10,Gás,Recarga de GLP,441.48
39,2026-01-31,Gás,Recarga de GLP,932.85
40,2026-01-19,Gás,Recarga de GLP,547.98
41,2026-01-24,Gás,Gás da cozinha,674.52
42,2026-01-02,Gás,Recarga de GLP,730.29
43,2026-01-19,Gás,Gás da cozinha,1015.52
44,2026-01-17,Gás,Recarga de GLP,1043.64
45,2026-01-02,Gás,Recarga de GLP,494.60
46,2026-01-28,Gás,Recarga de GLP,373.68
47,2026-01-03,Gás,Recarga de GLP,662.62
48,2026-01-09,Manutenção e Reparos,Ar-condicionado,2626.85
49,2026-01-22,Manutenção e Reparos,Hidráulica,4190.05
50,2026-01-08,Manutenção e Reparos,Hidráulica,3109.05
51,2026-01-13,Manutenção e Reparos,Ar-condicionado,3135.92
52,2026-01-22,Manutenção e Reparos,Hidráulica,1568.78
53,2026-01-15,Manutenção e Reparos,Hidráulica,1691.55
54,2026-01-30,Manutenção e Reparos,Manutenção de elevador,3363.94
