data,indicador,hoje,mtd,ytd,hoje_ant,mtd_ant,ytd_ant
2026-08-12,Adultos no hotel,86,894,18312,86,929,19213
2026-08-12,Aniversariantes no hotel,0,1,51,0,2,74
2026-08-12,Blocos no hotel,0,5,5,0,0,3
2026-08-12,Cancelamentos de reservas feitos hoje,14,136,2983,7,292,5311
2026-08-12,Cancelamentos tardios de reserva hoje,4,28,354,0,158,794
2026-08-12,Chegadas deduzidas,33,360,6744,34,359,6864
2026-08-12,Chegadas não deduzidas,0,0,2,0,0,0
2026-08-12,Crianças no hotel,0,35,998,0,36,962
2026-08-12,Demanda de hoje,73,721,13384,74,704,13795
2026-08-12,Diária média (ADR),270.88,260.88,253.50,250.81,231.84,240.91
2026-08-12,Diária média menos cortesia,270.88,260.88,254.03,250.81,240.02,241.81
2026-08-12,Diária média menos cortesia e uso interno,270.88,260.88,254.24,257.78,245.06,243.12
2026-08-12,Diária média menos uso interno,270.88,260.88,253.71,257.78,236.54,242.21
2026-08-12,Diárias reservadas hoje,138,1590,20394,116,1290,22600
2026-08-12,Duplos vendidos como single,0,0,0,0,0,0
2026-08-12,Média de pessoas por bloco,0,1.04,1.04,0,0,1.11
2026-08-12,Ocupação menos OOO,92.41,76.14,74.98,92.50,73.33,77.52
2026-08-12,Ocupação menos cortesia,91.25,75.10,74.53,92.50,70.83,76.70
2026-08-12,Ocupação menos cortesia e OOO,92.41,76.14,74.82,92.50,70.83,77.24
2026-08-12,Ocupação menos cortesia e uso interno,91.25,75.10,74.47,90,69.38,76.28
2026-08-12,"Ocupação menos cortesia, uso interno e OOO",92.41,76.14,74.76,90,69.38,76.82
2026-08-12,Ocupação menos uso interno,91.25,75.10,74.63,90,71.88,76.57
2026-08-12,Ocupação menos uso interno e OOO,92.41,76.14,74.92,90,71.88,77.11
2026-08-12,Ocupação múltipla (%),19.18,,,16.22,,
2026-08-12,Ocupação prevista para amanhã,77.50,,,96.25,,
2026-08-12,Ocupação prevista para os próximos 7 dias,80.18,,,75.54,,
2026-08-12,Outras receitas,107.90,839.80,11958.66,-1.80,576.02,13488.50
2026-08-12,Pessoas VIP no hotel,0,4,182,0,6,214
2026-08-12,Pessoas avulsas em saída,38,471,10081,31,490,10403
2026-08-12,Pessoas avulsas no hotel,86,848,19229,86,965,20092
2026-08-12,Pessoas com saída antecipada,0,5,147,0,1,127
2026-08-12,Pessoas com saída estendida,0,3,75,0,1,125
2026-08-12,Pessoas de blocos no hotel,0,81,81,0,0,83
2026-08-12,Pessoas de membro avulso em saída,19,202,4677,9,167,3665
2026-08-12,Pessoas de membros em saída,19,208,4683,9,167,3665
2026-08-12,Pessoas de membros no hotel,25,350,8584,24,280,6674
2026-08-12,Pessoas em chegada,42,478,10112,39,506,10470
2026-08-12,Pessoas em chegada amanhã,43,,,41,,
2026-08-12,Pessoas em saída,38,498,10108,31,490,10462
2026-08-12,Pessoas em saída amanhã,45,,,34,,
2026-08-12,Pessoas no-show,3,32,466,2,14,446
2026-08-12,Pessoas walk-in,0,7,73,0,3,164
2026-08-12,Quartos avulsos em saída,34,326,6690,21,341,6782
2026-08-12,Quartos avulsos no hotel,73,643,13306,74,704,13720
2026-08-12,Quartos com saída antecipada,0,4,97,0,1,92
