id,data,categoria,descricao,valor
1,2026-01-19,Diárias de Apartamentos,Grupo/convênio,97136.26
2,2026-01-02,Diárias de Apartamentos,Diárias balcão,58278.75
3,2026-01-03,Diárias de Apartamentos,Reserva corporativa,50036.08
4,2026-01-08,Diárias de Apartamentos,Diárias balcão,47137.94
5,2026-01-18,Diárias de Apartamentos,Reserva corporativa,97067.20
6,2026-01-23,Diárias de Apartamentos,Grupo/convênio,81787.25
7,2026-01-28,Restaurante e Bar,Consumo do bar,9208.87
8,2026-01-20,Restaurante e Bar,Consumo do bar,3562.07
9,2026-01-26,Restaurante e Bar,Café da manhã,9183.47
10,2026-01-24,Restaurante e Bar,Room service,8426.19
11,2026-01-18,Restaurante e Bar,Café da manhã,5909.25
12,2026-01-30,Restaurante e Bar,Room service,4609.81
13,2026-01-03,Restaurante e Bar,Consumo do bar,10248.18
14,2026-01-27,Restaurante e Bar,Consumo do bar,5883.54
15,2026-01-19,Restaurante e Bar,Almoço executivo,4168.62
16,2026-01-23,Restaurante e Bar,Café da manhã,4196.54
17,2026-01-22,Eventos,Evento corporativo,3424.71
18,2026-01-23,Eventos,Sala de reunião,3995.43
19,2026-01-20,Eventos,Coffee break,3645.98
20,2026-01-18,Eventos,Coffee break,3676.01
21,2026-01-06,Eventos,Locação de auditório,2367.65
22,2026-01-13,Eventos,Evento corporativo,2564.79
23,2026-01-30,Eventos,Coffee break,3588.92
24,2026-01-22,Eventos,Evento corporativo,1782.62
25,2026-01-27,Eventos,Sala de reunião,2300.79
26,2026-01-07,Estacionamento,Rotativo,2204.69
27,2026-01-16,Estacionamento,Mensalista,1522.39
28,2026-01-29,Estacionamento,Rotativo,956.49
29,2026-01-15,Estacionamento,Diária de garagem,2387.29
30,2026-01-09,Estacionamento,Diária de garagem,1802.85
31,2026-01-08,Estacionamento,Rotativo,2057.49
32,2026-01-06,Outras Receitas,Frigobar,480.38
33,2026-01-20,Outras Receitas,Lavanderia de hóspede,357.65
